date,close,change
2003-01-01,14.8742,
2003-01-02,15.871,
2003-01-03,16.122601,
2003-01-06,16.645201,
2003-01-07,16.354799,
2003-01-08,16.451599,
2003-01-09,17.0226,
2003-01-10,17.0226,14.44380202
2003-01-13,16.7516,5.548484658
2003-01-14,16.838699,4.441578626
2003-01-15,16.8871,1.453265719
2003-01-16,17.032301,4.142527218
2003-01-17,16.451599,0
2003-01-20,16.0355,-5.798761646
2003-01-21,15.7742,-7.333779799
2003-01-22,15.7742,-5.834666539
2003-01-23,16.258101,-3.447997972
2003-01-24,16.0065,-5.214631287
2003-01-27,15.4839,-9.090967803
2003-01-28,14.8258,-9.882315999
2003-01-29,14.8452,-7.422905429
2003-01-30,15.4839,-1.840346896
2003-01-31,15.1355,-4.049016749
2003-02-03,15.6871,-3.512101444
2003-02-04,14.8258,-7.376378346
2003-02-05,14.4193,-6.875528775
2003-02-06,14.1871,-4.308030595
2003-02-07,13.5484,-8.735483523
2003-02-10,13.6452,-11.87491523
2003-02-11,14.3226,-5.370816954
2003-02-12,13.6065,-13.26312703
2003-02-13,13.4516,-9.268977054
2003-02-14,13.8194,-4.160396136
2003-02-17,14.4968,2.182969035
2003-02-18,14.7097,8.571491837
2003-02-19,14.0323,2.836895025
2003-02-20,13.6452,-4.729588203
2003-02-21,13.7419,0.99511263
2003-02-24,13.1613,-2.158107586
2003-02-25,11.5645,-16.3169168
2003-02-26,11.5645,-20.22722256
2003-02-27,12.1355,-17.500017
2003-02-28,12.6,-10.2071649
2003-03-03,12.1839,-10.7092604
2003-03-04,11.6129,-15.49276301
2003-03-05,12.571,-4.485119251
2003-03-06,12.029,4.016602534
2003-03-07,11.129,-3.765835099
2003-03-10,10.7903,-11.08483375
2003-03-11,11.4677,-8.986507937
2003-03-12,10.9936,-9.769449848
2003-03-13,12.1065,4.250445625
2003-03-14,13.1129,4.310715138
2003-03-17,13.5484,12.63114141
2003-03-18,13.5387,21.65243957
2003-03-19,13.8871,28.69985079
2003-03-20,13.2581,15.61254654
2003-03-21,13.9355,26.76011498
2003-03-24,13.2484,9.43212324
2003-03-25,13.1419,0.221156266
2003-03-26,13.2387,-2.285878775
2003-03-27,12.9193,-4.575033053
2003-03-28,12.9193,-6.969057615
2003-03-31,11.7871,-11.09510413
2003-04-01,12.0774,-13.33357253
2003-04-02,12.6774,-4.30995441
2003-04-03,12.7452,-3.018589397
2003-04-04,12.8516,-2.924003112
2003-04-07,13.5,4.494825571
